m1a2;t2
437;1145
2137;2856
3869;4627
5619;6355
7317;8021
8979;9703
10664;11387
12330;13038
13993;14740
15635;16360
17275;18008
18951;19669
20647;21369
22336;23077
23993;24713
25673;26403
27354;28082
29045;29776
30701;31441
32343;33081
34004;34738
35669;36408
37328;38046
39008;39718
40692;41454
42399;43184
44114;44851
45801;46521
47410;48141
48931;49649
50395;51126
51868;52599
53412;54153
55030;55733
56714;57444
58443;59202
60212;60965
61974;62730
63730;64485
65436;66197
67143;67875
68814;69559
70463;71192
72087;72821
73692;74433
75275;76014
76881;77592
78480;79224
80094;80844
81703;82419
83304;84031
84911;85629
86530;87258
88141;88855
89754;90501
91372;92102
92964;93671
94557;95283
96149;96905
97739;98457
99327;1.0006e+05
1.0092e+05;1.0164e+05
1.0251e+05;1.0323e+05
1.0411e+05;1.0483e+05
1.0571e+05;1.0642e+05
1.0731e+05;1.0806e+05
1.0893e+05;1.0965e+05
