m1a1;t1
382;1089
2215;2982
4016;4758
5885;6641
7726;8502
9524;10264
11329;12058
13156;13890
14970;15694
16769;17473
18616;19391
20460;21210
22248;22990
24056;24793
25873;26602
27685;28422
29466;30188
31287;32014
33113;33845
34909;35652
36695;37398
38512;39234
40330;41092
42148;42819
43949;44690
45796;46530
47619;48345
49439;50226
51213;51956
53031;53767
54854;55591
56661;57388
58449;59182
60273;61014
62101;62826
63910;64652
65711;66442
67534;68287
69361;70114
71177;71887
72968;73697
74798;75540
76621;77347
78448;79158
80246;80956
82067;82822
83901;84647
85743;86475
87574;88313
89379;90118
91225;91950
93058;93778
94875;95682
96682;97429
98504;99242
1.0031e+05;1.0102e+05
1.0209e+05;1.028e+05
1.0387e+05;1.0461e+05
1.0566e+05;1.0638e+05
1.0745e+05;1.0819e+05
1.0922e+05;1.0994e+05
