m1a2;t2
96;775
1907;2590
3761;4433
5607;6285
7537;8219
9464;10147
11304;11985
13138;13821
15000;15691
16839;17510
18600;19280
20419;21100
22265;22962
24151;24823
26013;26695
27872;28550
29894;30578
31911;32599
33819;34512
35917;36608
37999;38681
39949;40640
41887;42576
43828;44523
45692;46381
47442;48136
49312;50002
51122;51810
52823;53512
54583;55274
56427;57121
58237;58928
59962;60646
61713;62397
63592;64280
65410;66093
67090;67774
68868;69557
70671;71364
72473;73160
74332;75020
76217;76911
78095;78786
79855;80549
81629;82311
83408;84094
85006;85691
86505;87188
88030;88703
89520;90200
91012;91688
92452;93126
94012;94693
95552;96230
97112;97798
98656;99327
1.003e+05;1.0098e+05
1.0192e+05;1.026e+05
1.0347e+05;1.0415e+05
1.0496e+05;1.0564e+05
1.0648e+05;1.0716e+05
1.0797e+05;1.0864e+05
1.0945e+05;1.1015e+05
