Archivo,Banda,DeltaR,Ángulo,Posición,Trial,ACC,F_ref,F_dom,F_card
DeltaR=10cm_Angle=0_Band1_Facedown_Trial1.mat,Bandwidth1,10.0,0,Facedown,1,0.9069332566168009,0.3263972355769231,0.2960205078125,1.300048828125
DeltaR=10cm_Angle=0_Band1_Facedown_Trial2.mat,Bandwidth1,10.0,0,Facedown,2,0.5916015625,0.3004807692307692,0.177764892578125,1.760101318359375
DeltaR=10cm_Angle=0_Band1_Facedown_Trial3.mat,Bandwidth1,10.0,0,Facedown,3,0.6894388686131387,0.30874399038461536,0.212860107421875,0.858306884765625
DeltaR=10cm_Angle=0_Band1_Facedown_Trial4.mat,Bandwidth1,10.0,0,Facedown,4,0.5663336431226766,0.30310997596153844,0.171661376953125,0.894927978515625
DeltaR=10cm_Angle=0_Band1_Facedown_Trial5.mat,Bandwidth1,10.0,0,Facedown,5,0.6888586956521741,0.3023587740384615,0.208282470703125,0.881195068359375
DeltaR=10cm_Angle=0_Band1_Facedown_Trial6.mat,Bandwidth1,10.0,0,Facedown,6,0.6823553948832037,0.33766526442307687,0.23040771484375,1.30462646484375
DeltaR=10cm_Angle=0_Band1_Facedown_Trial7.mat,Bandwidth1,10.0,0,Facedown,7,0.8905215231788081,0.28357872596153844,0.252532958984375,1.251983642578125
DeltaR=10cm_Angle=0_Band1_Facedown_Trial8.mat,Bandwidth1,10.0,0,Facedown,8,0.8670628324468085,0.2824519230769231,0.244903564453125,1.116943359375
DeltaR=10cm_Angle=0_Band1_Lateral_Trial1.mat,Bandwidth1,10.0,0,Lateral,1,0.9059905100830368,0.3166316105769231,0.286865234375,1.123809814453125
DeltaR=10cm_Angle=0_Band1_Lateral_Trial2.mat,Bandwidth1,10.0,0,Lateral,2,0.6755087209302326,0.32301682692307687,0.21820068359375,1.485443115234375
DeltaR=10cm_Angle=0_Band1_Lateral_Trial3.mat,Bandwidth1,10.0,0,Lateral,3,0.8411233003708283,0.30386117788461536,0.255584716796875,0.860595703125
DeltaR=10cm_Angle=0_Band1_Lateral_Trial4.mat,Bandwidth1,10.0,0,Lateral,4,0.5084355828220859,0.30611478365384615,0.1556396484375,0.91094970703125
DeltaR=10cm_Angle=0_Band1_Lateral_Trial5.mat,Bandwidth1,10.0,0,Lateral,5,0.43634259259259267,0.3042367788461538,0.13275146484375,1.439666748046875
DeltaR=10cm_Angle=0_Band1_Lateral_Trial6.mat,Bandwidth1,10.0,0,Lateral,6,0.978144171779141,0.30611478365384615,0.31280517578125,0.858306884765625
