Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MRE,F_ref,F_dom,F_card
DeltaR=10cm_Angle=0_Band1_Facedown_Trial1.mat,Bandwidth1,10.0,0,Facedown,1,0.019546332046332167,0.2918419471153846,0.29754638671875,0.97503662109375
DeltaR=10cm_Angle=0_Band1_Facedown_Trial2.mat,Bandwidth1,10.0,0,Facedown,2,0.04904026217228452,0.30085637019230765,0.286102294921875,2.227020263671875
DeltaR=10cm_Angle=0_Band1_Facedown_Trial3.mat,Bandwidth1,10.0,0,Facedown,3,0.15223692033293695,0.31588040865384615,0.267791748046875,0.867462158203125
DeltaR=10cm_Angle=0_Band1_Facedown_Trial4.mat,Bandwidth1,10.0,0,Facedown,4,0.08540076335877879,0.2952223557692307,0.3204345703125,1.439666748046875
DeltaR=10cm_Angle=0_Band1_Facedown_Trial5.mat,Bandwidth1,10.0,0,Facedown,5,0.053474005134788095,0.2925931490384615,0.276947021484375,1.934051513671875
DeltaR=10cm_Angle=0_Band1_Facedown_Trial6.mat,Bandwidth1,10.0,0,Facedown,6,0.016885403329065216,0.29334435096153844,0.28839111328125,1.300048828125
DeltaR=10cm_Angle=0_Band1_Facedown_Trial7.mat,Bandwidth1,10.0,0,Facedown,7,0.09375,0.29296875,0.2655029296875,1.24969482421875
DeltaR=10cm_Angle=0_Band1_Facedown_Trial8.mat,Bandwidth1,10.0,0,Facedown,8,0.056822005383579906,0.27907151442307687,0.263214111328125,1.114654541015625
DeltaR=10cm_Angle=0_Band1_Lateral_Trial1.mat,Bandwidth1,10.0,0,Lateral,1,0.041679171668667386,0.31287560096153844,0.299835205078125,0.860595703125
DeltaR=10cm_Angle=0_Band1_Lateral_Trial2.mat,Bandwidth1,10.0,0,Lateral,2,0.04421664626682988,0.3068659855769231,0.3204345703125,1.47857666015625
DeltaR=10cm_Angle=0_Band1_Lateral_Trial3.mat,Bandwidth1,10.0,0,Lateral,3,0.020647321428571272,0.2944711538461538,0.28839111328125,1.69830322265625
DeltaR=10cm_Angle=0_Band1_Lateral_Trial4.mat,Bandwidth1,10.0,0,Lateral,4,0.10252939356435628,0.30348557692307687,0.272369384765625,0.91094970703125
DeltaR=10cm_Angle=0_Band1_Lateral_Trial5.mat,Bandwidth1,10.0,0,Lateral,5,0.05589788732394358,0.29334435096153844,0.276947021484375,1.567840576171875
DeltaR=10cm_Angle=0_Band1_Lateral_Trial6.mat,Bandwidth1,10.0,0,Lateral,6,0.055428255372945656,0.2971003605769231,0.313568115234375,1.97296142578125
DeltaR=10cm_Angle=0_Band1_Lateral_Trial7.mat,Bandwidth1,10.0,0,Lateral,7,0.11504777070063689,0.2948467548076923,0.26092529296875,1.073455810546875
DeltaR=10cm_Angle=0_Band1_Lateral_Trial8.mat,Bandwidth1,10.0,0,Lateral,8,0.09938788659793818,0.29146634615384615,0.3204345703125,1.446533203125
DeltaR=10cm_Angle=0_Band1_Supine_Trial1.mat,Bandwidth1,10.0,0,Supine,1,0.07225492880613357,0.34292367788461536,0.318145751953125,1.007080078125
DeltaR=10cm_Angle=0_Band1_Supine_Trial2.mat,Bandwidth1,10.0,0,Supine,2,0.10714285714285714,0.3076171875,0.274658203125,0.9063720703125
DeltaR=10cm_Angle=0_Band1_Supine_Trial3.mat,Bandwidth1,10.0,0,Supine,3,0.11221590909090894,0.32226562499999994,0.286102294921875,0.807952880859375
DeltaR=10cm_Angle=0_Band1_Supine_Trial4.mat,Bandwidth1,10.0,0,Supine,4,0.1162280701754385,0.3211388221153846,0.2838134765625,0.885772705078125
DeltaR=10cm_Angle=0_Band1_Supine_Trial5.mat,Bandwidth1,10.0,0,Supine,5,0.06305870083432655,0.3151292067307692,0.295257568359375,0.9246826171875
