Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MAE,F_ref,F_dom
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial1.mat,Bandwidth1,15.5,30,Facedown,1,0.140840249850261,0.3076923076923077,0.1668520578420467
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial2.mat,Bandwidth1,15.5,30,Facedown,2,0.09536474525351057,0.3247863247863248,0.22942157953281422
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial3.mat,Bandwidth1,15.5,30,Facedown,3,0.06772482245229738,0.3076923076923077,0.3754171301446051
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial4.mat,Bandwidth1,15.5,30,Facedown,4,0.03655771369898181,0.3076923076923077,0.2711345939933259
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial5.mat,Bandwidth1,15.5,30,Facedown,5,0.09912723538974932,0.3076923076923077,0.20856507230255839
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial6.mat,Bandwidth1,15.5,30,Facedown,6,0.10288972552598807,0.2905982905982906,0.18770856507230255
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial7.mat,Bandwidth1,15.5,30,Facedown,7,0.0051553007615298685,0.3076923076923077,0.3128476084538376
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial8.mat,Bandwidth1,15.5,30,Facedown,8,0.05741422092923765,0.3076923076923077,0.25027808676307006
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,15.5,30,Lateral,1,0.09536474525351057,0.3247863247863248,0.22942157953281422
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,15.5,30,Lateral,2,0.11998374262000516,0.3076923076923077,0.18770856507230255
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,15.5,30,Lateral,3,0.07827072815949349,0.3076923076923077,0.22942157953281422
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,15.5,30,Lateral,4,0.08031478470855563,0.3931623931623932,0.3128476084538376
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,15.5,30,Lateral,5,0.12579028930530606,0.3760683760683761,0.25027808676307006
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,15.5,30,Lateral,6,0.07074574788701599,0.3418803418803419,0.2711345939933259
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,15.5,30,Lateral,7,0.21297880836256816,0.35897435897435903,0.14599555061179087
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,15.5,30,Lateral,8,0.012680281034007368,0.3418803418803419,0.35456062291434925
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,15.5,30,Supine,1,0.08858132968255322,0.3076923076923077,0.39627363737486093
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,15.5,30,Supine,2,0.04032020383522056,0.2905982905982906,0.25027808676307006
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,15.5,30,Supine,3,0.08105634941007572,0.27350427350427353,0.35456062291434925
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,15.5,30,Supine,4,0.04891237177110366,0.22222222222222224,0.2711345939933259
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,15.5,30,Supine,5,0.09332068870444848,0.23931623931623935,0.14599555061179087
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,15.5,30,Supine,6,0.07622667161043137,0.22222222222222224,0.14599555061179087
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,15.5,30,Supine,7,0.056437352043581135,0.25641025641025644,0.3128476084538376
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,15.5,30,Supine,8,0.09438787636785406,0.23931623931623935,0.3337041156840934
DeltaR=20cm_Angle=0_Band1_Supine_Trial7.mat,Bandwidth1,20.0,0,Supine,7,0.0536517307929989,0.3247863247863248,0.2711345939933259
DeltaR=20cm_Angle=0_Band1_Supine_Trial8.mat,Bandwidth1,20.0,0,Supine,8,0.03655771369898181,0.3076923076923077,0.2711345939933259
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial1.mat,Bandwidth1,22.5,30,Facedown,1,0.07148731258853613,0.3247863247863248,0.39627363737486093
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial2.mat,Bandwidth1,22.5,30,Facedown,2,0.20340977154102852,0.3076923076923077,0.10428253615127919
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial4.mat,Bandwidth1,22.5,30,Facedown,4,0.01570120646872597,0.3076923076923077,0.29199110122358174
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial5.mat,Bandwidth1,22.5,30,Facedown,5,0.1579342669442781,0.3247863247863248,0.1668520578420467
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial6.mat,Bandwidth1,22.5,30,Facedown,6,0.19964728140478977,0.3247863247863248,0.12513904338153503
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial7.mat,Bandwidth1,22.5,30,Facedown,7,0.018486827719308208,0.27350427350427353,0.29199110122358174
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial8.mat,Bandwidth1,22.5,30,Facedown,8,0.01946369660496472,0.2905982905982906,0.2711345939933259
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,22.5,30,Lateral,1,0.1836204519741783,0.17094017094017094,0.35456062291434925
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,22.5,30,Lateral,2,0.15417177680803934,0.3418803418803419,0.18770856507230255
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,22.5,30,Lateral,3,0.05741422092923765,0.3076923076923077,0.25027808676307006
DeltaR=22.5cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,22.5,30,Lateral,4,0.06772482245229738,0.3076923076923077,0.3754171301446051
