Archivo,Banda,DeltaR,Ángulo,Posición,Trial,MRE,F_ref,F_dom,F_card
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial1.mat,Bandwidth1,15.5,30,Facedown,1,0.08297936893203879,0.3094951923076923,0.2838134765625,1.09405517578125
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial2.mat,Bandwidth1,15.5,30,Facedown,2,0.11363636363636362,0.33052884615384615,0.29296875,2.140045166015625
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial3.mat,Bandwidth1,15.5,30,Facedown,3,0.11995600728155335,0.3094951923076923,0.272369384765625,0.853729248046875
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial4.mat,Bandwidth1,15.5,30,Facedown,4,0.17040532178217807,0.30348557692307687,0.25177001953125,0.812530517578125
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial5.mat,Bandwidth1,15.5,30,Facedown,5,0.09639246323529402,0.3064903846153846,0.276947021484375,0.867462158203125
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial6.mat,Bandwidth1,15.5,30,Facedown,6,0.16055484693877536,0.2944711538461538,0.2471923828125,0.917816162109375
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial7.mat,Bandwidth1,15.5,30,Facedown,7,0.12515470297029688,0.30348557692307687,0.2655029296875,1.371002197265625
DeltaR=15.5cm_Angle=30_Band1_Facedown_Trial8.mat,Bandwidth1,15.5,30,Facedown,8,0.21565594059405926,0.30348557692307687,0.238037109375,0.812530517578125
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial1.mat,Bandwidth1,15.5,30,Lateral,1,0.6332465277777777,0.3245192307692307,0.1190185546875,1.160430908203125
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial2.mat,Bandwidth1,15.5,30,Lateral,2,0.09355468749999996,0.3004807692307692,0.272369384765625,1.087188720703125
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial3.mat,Bandwidth1,15.5,30,Lateral,3,0.4117419554455444,0.30348557692307687,0.17852783203125,1.3916015625
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial4.mat,Bandwidth1,15.5,30,Lateral,4,0.22647165697674415,0.3876201923076923,0.299835205078125,0.981903076171875
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial5.mat,Bandwidth1,15.5,30,Lateral,5,0.3373666158536585,0.36959134615384615,0.244903564453125,1.522064208984375
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial6.mat,Bandwidth1,15.5,30,Lateral,6,0.7127945696721312,0.36658653846153844,0.10528564453125,1.46484375
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial7.mat,Bandwidth1,15.5,30,Lateral,7,0.6028645833333333,0.35156249999999994,0.139617919921875,0.9979248046875
DeltaR=15.5cm_Angle=30_Band1_Lateral_Trial8.mat,Bandwidth1,15.5,30,Lateral,8,0.7085597826086957,0.3455528846153846,0.1007080078125,1.242828369140625
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial1.mat,Bandwidth1,15.5,30,Supine,1,0.09498762376237609,0.30348557692307687,0.274658203125,0.8697509765625
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial2.mat,Bandwidth1,15.5,30,Supine,2,0.12834246134020616,0.29146634615384615,0.254058837890625,0.885772705078125
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,15.5,30,Supine,3,0.16125351123595494,0.2674278846153846,0.22430419921875,1.155853271484375
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,15.5,30,Supine,4,0.12190755208333326,0.21634615384615383,0.189971923828125,1.226806640625
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,15.5,30,Supine,5,0.151503164556962,0.23737980769230768,0.201416015625,1.178741455078125
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,15.5,30,Supine,6,0.13199869791666677,0.21634615384615383,0.244903564453125,0.96588134765625
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,15.5,30,Supine,7,0.11132812499999997,0.25240384615384615,0.22430419921875,1.068878173828125
DeltaR=15.5cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,15.5,30,Supine,8,0.219702743902439,0.24639423076923075,0.1922607421875,0.936126708984375
DeltaR=20cm_Angle=0_Band1_Supine_Trial7.mat,Bandwidth1,20.0,0,Supine,7,0.19673295454545453,0.33052884615384615,0.2655029296875,1.174163818359375
DeltaR=20cm_Angle=0_Band1_Supine_Trial8.mat,Bandwidth1,20.0,0,Supine,8,0.1367187499999999,0.31550480769230765,0.272369384765625,1.064300537109375
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial1.mat,Bandwidth1,22.5,30,Facedown,1,0.08166617990654204,0.3215144230769231,0.295257568359375,0.80108642578125
DeltaR=22.5cm_Angle=30_Band1_Facedown_Trial2.mat,Bandwidth1,22.5,30,Facedown,2,0.12735133495145626,0.3094951923076923,0.27008056640625,0.933837890625
